Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,48.54911,0,0,0,,
,48.54911,0,0,1,,
,48.56911,0,0,1,,
,48.57064,0,0,1,,
,48.57146,0,0,1,,
,48.57227,0,0,1,,
,48.57306,0,0,1,,
,48.57388,0,0,1,,
,48.57476,0,0,1,,
,48.57555,0,0,1,,
,48.57635,0,0,1,,
,48.57715,0,0,1,,
,48.57835,0,0,1,,
,48.57915,0,0,1,,
,48.57994,0,0,1,,
,48.58073,0,0,1,,
,48.58181,0,0,1,,
,48.5826,0,0,1,,
,48.5834,0,0,1,,
,48.58419,0,0,1,,
,48.58498,0,0,1,,
,48.58606,0,0,1,,
,48.58685,0,0,1,,
,48.58765,0,0,1,,
,48.58844,0,0,1,,
,48.58922,0,0,1,,
,48.59003,0,0,1,,
,48.59082,0,0,1,,
,48.59162,0,0,1,,
,48.59243,0,0,1,,
,48.59411,0,0,1,,
,48.59499,0,0,1,,
,48.59583,0,0,1,,
,48.59666,0,0,1,,
,48.59748,0,0,1,,
,48.59832,0,0,1,,
,48.59914,0,0,1,,
,48.59996,0,0,1,,
,48.60078,0,0,1,,
,48.60186,0,0,1,,
,48.60268,0,0,1,,
,48.60377,0,0,1,,
,48.6046,0,0,1,,
,48.6055,0,0,1,,
,48.60634,0,0,1,,
,48.60717,0,0,1,,
,48.60799,0,0,1,,
,48.60883,0,0,1,,
,48.60964,0,0,1,,
,48.61045,0,0,1,,
,48.61127,0,0,1,,
,48.61208,0,0,1,,
,48.61291,0,0,1,,
,48.61372,0,0,1,,
,48.61452,0,0,1,,
,48.61533,0,0,1,,
,48.61614,0,0,1,,
,48.61697,0,0,1,,
,48.6178,0,0,1,,
,48.61863,0,0,1,,
,48.61953,0,0,1,,
,48.6205,0,0,1,,
,48.6216,0,0,1,,
,48.6226,0,0,1,,
,48.62352,0,0,1,,
,48.62437,0,0,1,,
,48.6253,0,0,1,,
,48.6262,0,0,1,,
,48.62704,0,0,1,,
,48.62811,0,0,1,,
,48.62896,0,0,1,,
,48.62979,0,0,1,,
,48.63062,0,0,1,,
,48.63144,0,0,1,,
,48.63226,0,0,1,,
,48.63309,0,0,1,,
,48.6339,0,0,1,,
,48.63471,0,0,1,,
,48.63554,0,0,1,,
,48.63636,0,0,1,,
,48.63719,0,0,1,,
,48.63805,0,0,1,,
,48.63888,0,0,1,,
,48.63972,0,0,1,,
,48.64058,0,0,1,,
,48.6419,0,0,1,,
,48.64274,0,0,1,,
,48.64356,0,0,1,,
,48.64438,0,0,1,,
,48.6452,0,0,1,,
,48.64602,0,0,1,,
